Title,Price,Rating
Book Tasting: Introduce Your Students to New Books | Distance Learning,$13.97,"5,800"
Early Finisher Task Cards Bundle,$17.00,"5,800"
"First Grade Math Unit 10: Addition Fact Fluency, Adding 10, Making 10 to Add",$3.28,"5,800"
Character Traits Task Cards - Making Inferences Print and Digital Versions,$131.00,"5,800"
Perfect Blend Fonts: Bundle,$19.50,"5,700"
First Grade Writer's Workshop units,$8.00,"5,700"
Gingerbread Man Math and Literacy Fun,$4.95,"5,600"
Back to School Flip book | Meet the Teacher | Editable No Cut Flipbook,$3.99,"5,600"
Multi-Digit Multiplication Project,$3.29,"5,600"
Informational Text Features Task Cards Print or Digital for Non-fiction Text,$6.75,"5,500"
March NO PREP Packet (1st Grade),$97.50,"5,500"
Math Strategy Posters {Addition Problems} Kindergarten & First Common Core,$3.75,"5,500"
Multiplication Battleship,$1.50,"5,500"
KinderSocialSkills: Social Skill Curriculum | GOOGLE™ READY | Distance Learning,$15.00,"5,500"
Multiplication Fact Booklets - Improving Understanding and Memorization,$9.00,"5,400"
The Multiplication Station: A Self-Paced Program for Basic Multiplication Facts,$17.99,"5,400"
Writing Paper with Rubric | Writing Paper with Picture Box {Editable Templates},$4.75,"5,400"
Building Skills at Home - Parent Handouts (English & Spanish!),$3.00,"5,400"
Simple Fractions NO PREP Packet,$7.50,"5,400"
Christmas Activities,$8.50,"5,400"
Behavior Management and Self Regulation - Take A Break,$6.00,"5,400"
2D and 3D Shapes Activities & Anchor Chart + Digital - What Does the Shape Say?,$6.75,"5,400"
Word Work (The BUNDLE),$31.50,"5,300"
Reading Comprehension Strategy Questions,$5.50,"5,300"
100th Day of School Activities,$5.00,"5,300"
Back to School Math Activities for the Beginning of the Year,$7.00,"5,300"
Reading Comprehension Passages | Informational Text,$4.99,"5,300"
Presidents Day and American Symbols,$8.00,"5,300"
Mother's Day Craft - Flower Bouquet Card Writing Activity,$3.50,"5,200"
Kindergarten Morning Work Part 2,$8.00,"5,200"
First Then Board & Visual Schedule Flip Books (EDITABLE) for Special Education,$7.00,"5,200"
"Build A Tiny House! Project Based Learning Activity, PBL- Now Google Classroom",$6.95,"5,200"
2nd Grade Language Interactive Notebook (Common Core aligned),$9.75,"5,200"
Stamping Center!~ Sight Words and Word Families-Editable!,$9.00,"5,200"
EDITABLE Parent Flipbook Handbook | Back to School Flipbook | Meet the Teacher,$3.00,"5,100"
Non-Fiction Text Features Posters,$5.00,"5,100"
NO PREP Multiplication Math Games for Multiplication Practice & Fact Fluency,$3.39,"5,100"
Multi-Step Math Word Problems Task Cards Print and Digital Math Stories Set 2,$18.00,"5,100"
Writers Workshop :Writing Through the Year Unit 2,$4.00,"5,100"
Reading Responses,$4.99,"5,100"
Short Vowels Pocket Chart Centers Picture Sort Cards (CVC Words for A E I O U),$8.00,"5,100"
Candy Math Activity,$8.00,"5,000"
"Christmas STEM Challenges (December) - Shelf for The Elf, Santa's Parachute",$39.96,"5,000"
End of the Year Awards l Editable Classroom Awards l Certificates,$7.75,"5,000"
3rd Grade Math Spiral Review & Quizzes | Homework or Morning Work,$7.25,"5,000"
"You're Finally Here! Back to School Activities, First Day of School",$6.75,"5,000"
Activities to Introduce Multiplication with Equal Groups and Arrays,$3.87,"5,000"
May NO PREP Packet (Kindergarten),$3.00,"5,000"
Summer Bucket List Craft | End of the Year Activities May Bulletin Board Project,$3.50,"5,000"
Levels of Understanding Posters,$3.99,"5,000"
Numbers Galore 0-100,$6.75,"4,900"
Meet the Teacher Newsletter Template EDITABLE Bright Stripes Back to School,$20.50,"4,900"
Thanksgiving Math Project | Thanksgiving Math Activities,$29.99,"4,900"
October NO PREP Math and Literacy (Kindergarten),$4.00,"4,900"
Holidays Around the World (Part 1 and Part 2) BUNDLE,$6.00,"4,900"
TEACHER APPRECIATION WEEK last day of school countdown CLASSROOM ORGANIZATION,$6.75,"4,900"
Close Reading Comprehension Passages and Questions - Reading Strategies - Audio,$24.98,"4,900"
Penguins Math and Literacy Fun,$10.00,"4,900"
Sight Word Super Stars Practice NO PREP (The BUNDLE),$20.25,"4,900"
"First Grade Math Unit 9 Place Value Worksheets, Games, and Activities Bundle",$17.00,"4,900"
2D and 3D Shape Activities,$7.75,"4,900"
Sequencing Task Cards Text Structure Print and Digital Sequence of Events,$3.38,"4,900"
Reading Intervention Program: Set 1-L-P | Distance Learning | Google Classroom,$21.00,"4,900"
November NO PREP Math and Literacy (Kindergarten),$6.75,"4,900"
Classroom Community Bulletin Board or End of the Year Gift - Class Photos,$4.75,"4,800"
5th Grade Reading Interactive Notebook (aligned with the Common Core),$13.50,"4,800"
Numbers 1-20 NO PREP (with Number Word Watches),$4.75,"4,800"
Distributive Doctor {distributive property of multiplication},$12.00,"4,800"
2 Digit Addition and Subtraction With Regrouping Centers,$6.55,"4,800"
"2nd Grade Math & ELA Spiral Review Homework, Fast Finishers, Exit Tickets",$30.00,"4,800"
"Parent Handouts for Preschool, Pre-K, and Kindergarten",$3.00,"4,800"
Fraction Activities - Fraction Unit - Printable Worksheets - Lessons Assessments,$13.00,"4,800"
Decoding Strategies: A Quick-Reference Guide for Parents & Guided Reading,$5.00,"4,700"
Amy Groesbeck Fonts: Volume One,$6.00,"4,700"
Magnetic Letter Template,$4.00,"4,700"
Interactive Reading Notebook for K-2,$15.00,"4,700"
I Can Read Simple Sentences NO PREP (THE BUNDLE),$18.00,"4,700"
Fluency Strips™ Set 1 - Quick and Easy Practice and Assessment,$12.00,"4,700"
Growth Mindset - printable worksheets & digital growth mindset activities,$4.75,"4,700"
Name Folders - Editable,$3.00,"4,600"
Common Core Standards Reading Graphic Organizers,$4.50,"4,600"
Back to School NO PREP Math and Literacy Packet (1st Grade),$8.50,"4,700"
Guided Reading Lesson Plans Levels A-N | Guided Reading Lesson Plan Templates,$8.00,"4,600"
End of Year Awards EDITABLE- 80 Color and B&W,$5.00,"4,600"
4th Grade Math Spiral Review & Quizzes | Homework or Morning Work,$39.96,"4,600"
Father's Day Craft Kindergarten Writing and Questionnaire,$4.50,"4,600"
Sight Word Sticker Book,$4.50,"4,600"
CVC Words Short Vowel Word Building Cards,$4.50,"4,600"
Grammar Third Grade Activities: Year-Long BUNDLE,$93.00,"4,600"
Open House | Meet the Teacher Editable Flip book Bundle {No Cut Flipbook},$16.50,"4,600"
Detective Inferences | Drawing Conclusions and Inferences | Distance Learning,$8.00,"4,600"
"Handwriting - Make It Neat! Handwriting Practice, Instruction, and Fluency",$10.00,"4,600"
Science Interactive Notebook | 3rd 4th 5th 6th | Back to School Necessity,$49.95,"4,600"
Making Inferences | Inferencing Investigation and Drawing Conclusions Activities,$7.00,"4,600"
January NO PREP Math and Literacy (Kindergarten),$6.75,"4,600"
DIGITAL and Printable Activities for Back to School {Distance Learning},$14.00,"4,500"
"Greek and Latin Root Words, Prefixes, & Suffixes Interactive Notebook Vocabulary",$14.95,"4,500"
"Back to School Activities ""Get To Know You"" First Week of School",$6.50,"4,500"
INSTANT Math Tool Kit,$4.00,"4,500"
Writing Writers Workshop :Writing Through the Year Bundle,$158.00,"4,500"
All About Me Paper Backpack! {A Back to School Craftivity},$4.00,"4,500"
60 Brain Breaks Cards and Google Slides Bonus Social Distance Version Included,$4.50,"4,500"
Summer Phonics Decodable Passages Reading Comprehension End of the Year Activity,$8.75,"4,500"
Sight Words Practice Fluency Flash cards: High-frequency FRY Words 1-100,$7.00,"4,500"
Money Worksheets Games & Activities HUGE Unit (Identifying & Counting Coins),$17.00,"4,500"
Classroom Expectations and Belief Subway Art: We Believe,$5.00,"4,500"
Math Talk: Editable Bulletin Board Kit Bundle,$6.00,"4,500"
Telling Time NO PREP Packet,$8.75,"4,500"
Fraction Action,$8.00,"4,400"
Text Evidence Spring Reading Passages Digital Distance Learning,$8.50,"4,400"
Nonfiction Text Structures: Bundle of Activities,$29.23,"4,400"
Calendar Companion {K-2 Printables to Supplement Your Daily Calendar},$6.00,"4,400"
"Writing Center | Kindergarten, 1st Grade & 2nd Grade BUNDLE",$88.00,"4,400"
Sight Words Editable Sight Word Worksheets,$7.00,"4,400"
Calm Down Kit- Visual Behavioral Management Tools for the Primary Grades,$10.00,"4,400"
Growth Mindset Coloring Pages,$5.50,"4,400"
Summer Packet NO PREP Review (2nd Grade),$7.50,"4,400"
CVC Words Roll (Short Vowels Game Fun Blending Literacy Center),$3.00,"4,400"
End of the Year Memory Book Print and Digital | End of the Year Activities,$8.00,"4,400"
Kindergarten Themed Literacy and Math Centers for the Year Set 1!,$40.00,"4,400"
Interactive Language Wall Pieces to Build Grammar Skills,$13.00,"4,400"
Insects Math and Literacy Fun,$8.50,"4,400"
Counting Coins Activities,$7.50,"4,400"
Veterans Day Math and Literacy Activities,$5.00,"4,400"
"Number of the Day for 3rd, 4th, & 5th Grades | Print and Digital",$6.75,"4,300"
Forces and Motion,$8.00,"4,300"
End of the Year Memory Books {2nd Grade/3rd Grade - 5 Bonus Themes & 2 Formats},$4.99,"4,300"
Back to School | Reading Intervention | K-1st Grade,$9.00,"4,300"
April NO PREP Packet (Kindergarten),$6.75,"4,300"
READ ALOUD LESSONS August September,$18.00,"4,300"
Reading Intervention Binder No Prep 2nd Edition: SOR Aligned,$21.99,"4,300"
Parent Reminder Notes,$5.00,"4,300"
Guided Reading Activities A-N BUNDLED with Guided Reading Lesson Plan Templates,$38.00,"4,300"
"Welcome Back (from Fall, Winter, or Spring Break) Task Cards",$1.50,"4,300"
"Counting Stews and Brews™️ BUNDLE Year Long for Preschool, Pre-K, & Kinder",$43.00,"4,300"
Point of View Task Cards | Digital and Printable,$3.00,"4,300"
Kindergarten Sight Words Practice I Can Read Sight Word Fluency Passages,$30.00,"4,300"
May NO PREP Math and Literacy (1st Grade),$6.75,"4,300"
KinderMath® Kindergarten Math Curriculum Units BUNDLED,$150.00,"4,200"
Show Me What You Know {40 Quick Math Assessments for 2nd Grade},$6.00,"4,200"
100th Day of School | 20 No Prep 100th Day Activities & Crafts,$8.75,"4,200"
Reading Logs,$8.50,"4,200"
"Teacher Binder for Organization (Substitute Binder, Grade Sheets, Plans, & More)",$7.50,"4,200"
October NO PREP Math and Literacy Packet (1st Grade),$6.75,"4,200"
Cursive Handwriting Practice Pages,$8.00,"4,200"
Reading Test Prep Centers,$6.00,"4,200"
Writing Center Activities for Young Learners {Part 1},$9.50,"4,200"
Main Idea and Supporting Details Activities,$6.00,"4,200"
Kindergarten Morning Work YEAR LONG BUNDLE,$24.00,"4,100"
Morning Meeting Slides - Morning Meeting Activities + Greetings Bundle for K-2,$36.00,"4,100"
"Reading Log Alternative: ""Tower of Books"" {An Independent Reading Challenge}",$8.00,"4,100"
Classroom Library Rainbow Book Spine Labels,$8.50,"4,100"
Writing Center | Printables & Interactive Learning Display,$20.00,"4,100"
Book Report Projects for Any Book Student Instructions Rubrics & Digital Options,$6.98,"4,100"
Beginning Sounds Color It! Distance Learning,$4.00,"4,100"
Reading Comprehension Strategies and Skills Poster Set,$8.50,"4,100"
Digital and Printable Math Activity: Fraction Sundae,$3.00,"4,100"
"Mentor Sentences Unit: Vol 1, First 10 Weeks (Grades 3-5)",$10.00,"4,100"
Guided Reading LEVELS A-E {Kindergarten},$60.00,"4,100"
"Fire Drill Routine, Book, & Posters",$2.50,"4,100"
Phonemic Awareness Activities,$7.00,"4,100"
Mother's Day,$4.50,"4,100"
END OF THE YEAR activity craft writing bulletin board project Classroom for Rent,$6.00,"4,100"
December NO PREP Math and Literacy (2nd Grade) Christmas,$7.00,"4,100"
Author's Purpose- Cutie P.I.E. Foldable Book,$2.00,"4,000"
"Parts of Speech: Nouns, Adjectives, and Verbs",$6.00,"4,000"
January NO PREP Journal Prompts for Beginning Writers,$5.00,"4,000"
Phonological & Phonemic Awareness Assessment and Intervention Activities BUNDLE,$32.50,"4,000"
President's Day {Craftivities: Washington & Lincoln},$5.50,"4,000"
"Project Based Learning: Zoo Design, Area & Perimeter (PBL) Now For Google Slides",$6.95,"4,000"
Common Core Language Arts Assessments for 1st Grade,$14.50,"4,000"
Pumpkin Craft: {Life Cycle of a Pumpkin Craftivity},$3.00,"4,000"
"Elements of Poetry, Drama, and Prose Print and Digital",$7.00,"4,000"
Interactive Read Aloud Lessons For The Year | Distance Learning,$21.99,"4,000"
2nd Grade Decodable Phonics Reading Comprehension Passages Phonics Mats Bundle,$34.00,"4,000"
2nd Grade Math Centers Bundle - 120 Centers - with Summer Math Games,$84.00,"4,000"
First Grade Math Unit 17 Geometry 2D Shapes and 3D Shapes Attributes & Composing,$17.00,"4,000"
"Halloween STEM Challenges (October) - Pumpkin Catapult, Candy Towers",$8.00,"4,000"
"States of Matter for Kids: Solids, Liquids, and Gases",$7.00,"4,000"
Figurative Language Review Task Cards Print and Digital Simile Metaphor Idiom,$3.48,"4,000"
Growth Mindset,$11.99,"4,000"
KinderWordFamilies® Word Families Curriculum,$26.00,"4,000"
End of Year Fun Activity No Prep Packet BEACH THEME for Summer Math and ELA,$3.50,"4,000"
The {Grades 2-4} Early Finisher Board™: Complete 40 Weeks | DIGITAL NOW INCLUDED,$22.50,"4,000"
Sight Words Fluency and Word Work Learn To Read ELL Bundle,$24.00,"4,000"
End of the Year Math Project,$3.99,"4,000"
Perimeter and Area Project | Digital and Printable,$3.99,"4,000"
Guided Math Workshop How to Launch Math Stations Rotation Board System included,$18.00,"3,900"
Christmas and Holidays Around the World | Winter Holidays,$30.00,"3,900"
Math Puzzles Bundle | Math Centers and Games | Math Review,$36.00,"3,900"
Earth Day - Earth Day Activities,$8.50,"3,900"
April NO PREP Math and Literacy (1st Grade),$6.75,"3,900"
Poetry Interactive Notebook: Poetry Activities for Common Core Grades 4-8+,$14.95,"3,900"
Reading Skill of the Day Weekly Journal | Google,$14.99,"3,900"
Growth Mindset Posters - Bulletin Board,$4.25,"3,900"
Student Name Tags,$2.00,"3,900"
"1st Grade Morning Work • Back to School First Spiral Review + Google, Seesaw",$31.80,"3,900"
Context Clues Packet Using Tier Vocabulary,$8.00,"3,900"
Editable Teacher Planner Binder 2022-2023,$22.99,"3,900"
3rd Grade Language Arts Assessments | Print and Digital,$15.00,"3,900"
The Day the Crayons Quit - Opinion Writing Crayon Craft,$6.00,"3,900"
All About Me Back to School T Shirt Art & Writing Activity,$3.75,"3,900"
Multiplication: The Bundle,$33.00,"3,900"
"Cell Phone Characterization, PDF & Google Drive, Literature or History Activity",$1.50,"3,900"
Text Evidence Winter Reading Passages Digital Distance Learning,$8.50,"3,900"
Free Frames & Backgrounds by The 3AM Teacher!!!,$6.75,"3,800"
November NO PREP Math and Literacy Packet (1st Grade),$200.00,"3,900"
Freebie {Word Work Activities},$6.50,"3,800"
Hello Fonts by Jen Jones: Commercial Use,$8.49,"3,900"
Personal Narrative Writing Unit for First Grade,$4.00,"3,800"
Elapsed Time Printables | Google Classroom,$5.00,"3,800"
Classroom Procedures and Routines - Back to School Classroom Management,$7.00,"3,800"
Making Inferences and Predictions with Details and Clues Inferencing Activity,$6.75,"3,800"
Word Work Centers & Visual Directions,$5.00,"3,800"
January NO PREP Math and Literacy (1st Grade),$20.00,"3,800"
120s Chart Center: Differentiated Pocket Chart Math Center,$21.00,"3,800"
RTI: 60 Fluency Passages for Progress Monitoring Reading Skills & Interventions,$39.96,"3,800"
Reading Intervention Program: Set 1-H-K | Distance Learning | Google Classroom,$16.00,"3,800"
2nd Grade Math Spiral Review & Quizzes | Homework or Morning Work,$25.00,"3,800"
2nd Grade Math Interactive Notebook {Common Core Aligned},$15.00,"3,800"
2nd Grade Math Morning Work | Spiral Review | Math Worksheets and Centers,$22.90,"3,800"
I Am Thankful For Lapbook | Thanksgiving Activities | Thanksgiving Turkey Craft,$6.00,"3,800"
Text Evidence Fall Reading Passages Digital Distance Learning,$8.50,"3,800"
EDITABLE Daily Schedule Chart with Mini Visual Schedules and Checklists,$8.00,"3,800"
5th Grade Math Spiral Review & Quizzes | Homework or Morning Work,$39.96,"3,800"
Focus Wall Bulletin Board Kit | Editable | Classroom Decor | English & Spanish,$6.50,"3,800"
Math + Spelling= How Much is Your Word Worth?,$1.95,"3,800"
Teaching Theme with Aesop's Fables | Finding Theme Worksheets Graphic Organizers,$6.50,"3,800"
Main Idea Task Cards | Digital and Printable,$3.49,"3,800"
Snowman Math and Literacy Fun,$8.00,"3,700"
Paragraph Writing | How to Write a Paragraph | Sentence Structure | Step-by-Step,$18.98,"3,700"
READ ALOUD LESSONS January,$15.00,"3,700"
First Grade Math Journal Bundle 1st Semester,$24.00,"3,700"
"Editable Teacher Binder, Planner and Classroom Forms {Updated Through 2025}",$11.00,"3,700"
Map Skills Unit - Maps & Globes Activities,$6.50,"3,700"
Graphing Task Cards | Digital and Printable,$4.29,"3,700"
Theme Activities with Google Slides™ and Google Forms™ for Distance Learning,$8.00,"3,700"
Learning Our Addition Strategies,$6.75,"3,700"
"Inflectional Word Endings Packet (-ed, -ing)",$8.50,"3,700"
